NAME,DATE,PRCP,SNOW,State,Year,Value,STATION,LATITUDE,LONGITUDE,ELEVATION,AWND,FMTM,PGTM,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT08,WT13,WT16,WT21,WT22,Flood,High Wind,Heat,Strong Wind,Frost/Freeze,Heavy Rain,Drought
"SANTA ROSA SONOMA CO AIRPORT, CA US",21/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,7.16,1119.0,1118.0,68.0,38.0,330.0,330.0,13.0,15.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",22/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,2.91,9.0,1553.0,65.0,29.0,320.0,240.0,12.1,13.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",23/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,2.01,1738.0,1730.0,62.0,27.0,160.0,150.0,6.9,8.1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",24/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,2.91,1608.0,1607.0,62.0,26.0,160.0,170.0,8.9,10.1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",25/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,2.68,1708.0,1708.0,57.0,33.0,150.0,150.0,8.1,8.9,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",26/01/2007,0.05,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,3.13,456.0,455.0,47.0,38.0,330.0,330.0,8.9,10.1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",27/01/2007,0.12,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,2.91,1044.0,1047.0,57.0,37.0,310.0,310.0,8.9,10.1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",28/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,2.24,922.0,920.0,56.0,32.0,310.0,310.0,8.1,8.9,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",29/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,4.25,1632.0,1615.0,68.0,35.0,230.0,220.0,10.1,14.1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",30/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,4.25,1548.0,1529.0,59.0,31.0,140.0,130.0,14.1,16.1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",31/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,2.46,1509.0,1751.0,57.0,37.0,150.0,190.0,8.1,8.9,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",01/02/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,2.46,1552.0,1515.0,53.0,31.0,120.0,140.0,8.9,10.1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",02/02/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,2.24,1626.0,1625.0,57.0,34.0,160.0,170.0,10.1,12.1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",03/02/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,2.91,1539.0,1609.0,60.0,29.0,170.0,170.0,8.1,8.1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",04/02/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,1.12,137.0,137.0,66.0,32.0,330.0,340.0,6.9,6.9,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",05/02/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,2.91,1957.0,1603.0,66.0,34.0,100.0,160.0,8.9,12.1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
