NAME,DATE,PRCP,SNOW,State,Year,Value,STATION,LATITUDE,LONGITUDE,ELEVATION,SNWD,WESD,AWND,FMTM,PGTM,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT06,WT08,WT09,Flood,Hail,High Wind,Frost/Freeze,Strong Wind
"MUSKEGON CO AIRPORT, MI US",20/2/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,10,0,12.08,2226,57,43,30,300,280,29.1,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",21/2/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,9,0,12.08,2226,57,43,30,300,280,29.1,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",22/2/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,8,0,12.08,2226,57,43,30,300,280,29.1,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",23/2/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,7,0,12.08,2226,57,43,30,300,280,29.1,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",24/2/2007,0.01,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,7,0,12.08,2226,57,43,30,300,280,29.1,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",25/2/2007,0.42,3.1,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,7,0,12.08,2226,57,43,30,300,280,29.1,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",26/2/2007,0.12,0.8,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,10,0,12.08,2226,57,43,30,300,280,29.1,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",27/2/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,10,0,12.08,2226,57,43,30,300,280,29.1,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",28/2/2007,0.02,0.4,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,7,0,12.08,2226,57,43,30,300,280,29.1,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",1/3/2007,0.56,0.5,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,6,0,20.13,2321,2230,44,38,210,210,28,34.9,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",2/3/2007,0.36,2.8,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,6,0,14.375,1578.5,1643.75,14,4.5,300,280,23.025,30.55,1,1,1,1,1,1,0,0,0,0,0
